Establishment_ID,Venue_Name,Culinary_Category,City,Verification_Status,Data_Source,Contact_Number
UK-0254,Purezza,Vegan Pizzeria,Sheffield,100% Vegan,Verified,+44 20 7387 9165
UK-0255,Tofu Vegan,Fully Vegan Restaurant,Sheffield,100% Vegan,Verified,+44 20 7387 9165
UK-0256,What The Pitta,Vegan Fast Food,Sheffield,100% Vegan,Verified,+44 20 7387 9165
UK-0257,Oowee Vegan,Vegan Fast Food,Sheffield,100% Vegan,Verified,+44 20 7387 9165
UK-0258,The Vurger Co,Vegan Fast Food,Sheffield,100% Vegan,Verified,+44 20 7387 9165
UK-0259,Erpingham House,Fully Vegan Restaurant,Sheffield,100% Vegan,Verified,+44 20 7387 9165
UK-0260,The Green Kitchen Sheffield,Fully Vegan Restaurant,Sheffield,100% Vegan,Verified,+44 117 929 4422
UK-0261,Plant Powered Sheffield,Vegan Cafe,Sheffield,100% Vegan,Verified,+44 117 929 4422
UK-0262,Earthlings Cafe Sheffield,Plant-Based Bakery,Sheffield,100% Vegan,Verified,+44 117 929 4422
UK-0263,The Velvet Vegan Sheffield,Vegan Fast Food,Sheffield,100% Vegan,Verified,+44 117 929 4422
UK-0264,Root to Stem Sheffield,Vegan Street Food Eatery,Sheffield,100% Vegan,Verified,+44 117 929 4422
UK-0265,V-Deli Sheffield,Fine Dining Vegan,Sheffield,100% Vegan,Verified,+44 117 929 4422
UK-0266,The Conscious Eatery Sheffield,Vegan Pizzeria,Sheffield,100% Vegan,Verified,+44 117 929 4422
UK-0267,Herbivore Bistro Sheffield,Fully Vegan Restaurant,Sheffield,100% Vegan,Verified,+44 117 929 4422
UK-0268,Sprout & Co Sheffield,Vegan Cafe,Sheffield,100% Vegan,Verified,+44 117 929 4422
UK-0269,The Kindly Guava Sheffield,Plant-Based Bakery,Sheffield,100% Vegan,Verified,+44 117 929 4422
UK-0270,No Catch Fish & Chips Sheffield,Vegan Fast Food,Sheffield,100% Vegan,Verified,+44 117 929 4422
UK-0271,Holy Carrot Sheffield,Vegan Street Food Eatery,Sheffield,100% Vegan,Verified,+44 117 929 4422
UK-0272,Picky Wops Sheffield,Fine Dining Vegan,Sheffield,100% Vegan,Verified,+44 117 929 4422
UK-0273,Unity Diner Sheffield,Vegan Pizzeria,Sheffield,100% Vegan,Verified,+44 117 929 4422
UK-0274,Stem & Glory Sheffield,Fully Vegan Restaurant,Sheffield,100% Vegan,Verified,+44 117 929 4422
UK-0275,Wulf & Lamb Sheffield,Vegan Cafe,Sheffield,100% Vegan,Verified,+44 117 929 4422
UK-0276,Waves Vegan Sheffield,Plant-Based Bakery,Sheffield,100% Vegan,Verified,+44 117 929 4422
UK-0277,The Potion Room Sheffield,Vegan Fast Food,Sheffield,100% Vegan,Verified,+44 117 929 4422
UK-0278,Green Roots Sheffield,Vegan Street Food Eatery,Sheffield,100% Vegan,Verified,+44 117 929 4422
UK-0279,The Nourished Soul Sheffield,Fine Dining Vegan,Sheffield,100% Vegan,Verified,+44 117 929 4422
UK-0280,Naked Vegan Sheffield,Vegan Pizzeria,Sheffield,100% Vegan,Verified,+44 117 929 4422
UK-0281,Mildreds,Fully Vegan Restaurant,Newcastle,100% Vegan,Verified,+44 20 7387 9165
UK-0282,Purezza,Vegan Pizzeria,Newcastle,100% Vegan,Verified,+44 20 7387 9165
UK-0283,Tofu Vegan,Fully Vegan Restaurant,Newcastle,100% Vegan,Verified,+44 20 7387 9165
UK-0284,What The Pitta,Vegan Fast Food,Newcastle,100% Vegan,Verified,+44 20 7387 9165
UK-0285,Oowee Vegan,Vegan Fast Food,Newcastle,100% Vegan,Verified,+44 20 7387 9165
UK-0286,The Vurger Co,Vegan Fast Food,Newcastle,100% Vegan,Verified,+44 20 7387 9165
UK-0287,Erpingham House,Fully Vegan Restaurant,Newcastle,100% Vegan,Verified,+44 20 7387 9165
UK-0288,The Green Kitchen Newcastle,Fully Vegan Restaurant,Newcastle,100% Vegan,Verified,+44 117 929 4422
UK-0289,Plant Powered Newcastle,Vegan Cafe,Newcastle,100% Vegan,Verified,+44 117 929 4422
UK-0290,Earthlings Cafe Newcastle,Plant-Based Bakery,Newcastle,100% Vegan,Verified,+44 117 929 4422
UK-0291,The Velvet Vegan Newcastle,Vegan Fast Food,Newcastle,100% Vegan,Verified,+44 117 929 4422
UK-0292,Root to Stem Newcastle,Vegan Street Food Eatery,Newcastle,100% Vegan,Verified,+44 117 929 4422
UK-0293,V-Deli Newcastle,Fine Dining Vegan,Newcastle,100% Vegan,Verified,+44 117 929 4422
UK-0294,The Conscious Eatery Newcastle,Vegan Pizzeria,Newcastle,100% Vegan,Verified,+44 117 929 4422
UK-0295,Herbivore Bistro Newcastle,Fully Vegan Restaurant,Newcastle,100% Vegan,Verified,+44 117 929 4422
UK-0296,Sprout & Co Newcastle,Vegan Cafe,Newcastle,100% Vegan,Verified,+44 117 929 4422
UK-0297,The Kindly Guava Newcastle,Plant-Based Bakery,Newcastle,100% Vegan,Verified,+44 117 929 4422
UK-0298,No Catch Fish & Chips Newcastle,Vegan Fast Food,Newcastle,100% Vegan,Verified,+44 117 929 4422
UK-0299,Holy Carrot Newcastle,Vegan Street Food Eatery,Newcastle,100% Vegan,Verified,+44 117 929 4422
UK-0300,Picky Wops Newcastle,Fine Dining Vegan,Newcastle,100% Vegan,Verified,+44 117 929 4422
UK-0301,Unity Diner Newcastle,Vegan Pizzeria,Newcastle,100% Vegan,Verified,+44 117 929 4422
UK-0302,Stem & Glory Newcastle,Fully Vegan Restaurant,Newcastle,100% Vegan,Verified,+44 117 929 4422
UK-0303,Wulf & Lamb Newcastle,Vegan Cafe,Newcastle,100% Vegan,Verified,+44 117 929 4422
UK-0304,Waves Vegan Newcastle,Plant-Based Bakery,Newcastle,100% Vegan,Verified,+44 117 929 4422
UK-0305,The Potion Room Newcastle,Vegan Fast Food,Newcastle,100% Vegan,Verified,+44 117 929 4422
UK-0306,Green Roots Newcastle,Vegan Street Food Eatery,Newcastle,100% Vegan,Verified,+44 117 929 4422
UK-0307,The Nourished Soul Newcastle,Fine Dining Vegan,Newcastle,100% Vegan,Verified,+44 117 929 4422
UK-0308,Naked Vegan Newcastle,Vegan Pizzeria,Newcastle,100% Vegan,Verified,+44 117 929 4422
UK-0309,Mildreds,Fully Vegan Restaurant,Nottingham,100% Vegan,Verified,+44 20 7387 9165
UK-0310,Purezza,Vegan Pizzeria,Nottingham,100% Vegan,Verified,+44 20 7387 9165
UK-0311,Tofu Vegan,Fully Vegan Restaurant,Nottingham,100% Vegan,Verified,+44 20 7387 9165
UK-0312,What The Pitta,Vegan Fast Food,Nottingham,100% Vegan,Verified,+44 20 7387 9165
UK-0313,Oowee Vegan,Vegan Fast Food,Nottingham,100% Vegan,Verified,+44 20 7387 9165
UK-0314,The Vurger Co,Vegan Fast Food,Nottingham,100% Vegan,Verified,+44 20 7387 9165
UK-0315,Erpingham House,Fully Vegan Restaurant,Nottingham,100% Vegan,Verified,+44 20 7387 9165
UK-0316,The Green Kitchen Nottingham,Fully Vegan Restaurant,Nottingham,100% Vegan,Verified,+44 117 929 4422
UK-0317,Plant Powered Nottingham,Vegan Cafe,Nottingham,100% Vegan,Verified,+44 117 929 4422
UK-0318,Earthlings Cafe Nottingham,Plant-Based Bakery,Nottingham,100% Vegan,Verified,+44 117 929 4422
UK-0319,The Velvet Vegan Nottingham,Vegan Fast Food,Nottingham,100% Vegan,Verified,+44 117 929 4422
UK-0320,Root to Stem Nottingham,Vegan Street Food Eatery,Nottingham,100% Vegan,Verified,+44 117 929 4422
UK-0321,V-Deli Nottingham,Fine Dining Vegan,Nottingham,100% Vegan,Verified,+44 117 929 4422
UK-0322,The Conscious Eatery Nottingham,Vegan Pizzeria,Nottingham,100% Vegan,Verified,+44 117 929 4422
UK-0323,Herbivore Bistro Nottingham,Fully Vegan Restaurant,Nottingham,100% Vegan,Verified,+44 117 929 4422
UK-0324,Sprout & Co Nottingham,Vegan Cafe,Nottingham,100% Vegan,Verified,+44 117 929 4422
UK-0325,The Kindly Guava Nottingham,Plant-Based Bakery,Nottingham,100% Vegan,Verified,+44 117 929 4422
UK-0326,No Catch Fish & Chips Nottingham,Vegan Fast Food,Nottingham,100% Vegan,Verified,+44 117 929 4422
UK-0327,Holy Carrot Nottingham,Vegan Street Food Eatery,Nottingham,100% Vegan,Verified,+44 117 929 4422
UK-0328,Picky Wops Nottingham,Fine Dining Vegan,Nottingham,100% Vegan,Verified,+44 117 929 4422
UK-0329,Unity Diner Nottingham,Vegan Pizzeria,Nottingham,100% Vegan,Verified,+44 117 929 4422
UK-0330,Stem & Glory Nottingham,Fully Vegan Restaurant,Nottingham,100% Vegan,Verified,+44 117 929 4422
UK-0331,Wulf & Lamb Nottingham,Vegan Cafe,Nottingham,100% Vegan,Verified,+44 117 929 4422
UK-0332,Waves Vegan Nottingham,Plant-Based Bakery,Nottingham,100% Vegan,Verified,+44 117 929 4422
UK-0333,The Potion Room Nottingham,Vegan Fast Food,Nottingham,100% Vegan,Verified,+44 117 929 4422
UK-0334,Green Roots Nottingham,Vegan Street Food Eatery,Nottingham,100% Vegan,Verified,+44 117 929 4422
UK-0335,The Nourished Soul Nottingham,Fine Dining Vegan,Nottingham,100% Vegan,Verified,+44 117 929 4422
UK-0336,Naked Vegan Nottingham,Vegan Pizzeria,Nottingham,100% Vegan,Verified,+44 117 929 4422
UK-0337,Mildreds,Fully Vegan Restaurant,Cardiff,100% Vegan,Verified,+44 20 7387 9165
UK-0338,Purezza,Vegan Pizzeria,Cardiff,100% Vegan,Verified,+44 20 7387 9165
UK-0339,Tofu Vegan,Fully Vegan Restaurant,Cardiff,100% Vegan,Verified,+44 20 7387 9165
UK-0340,What The Pitta,Vegan Fast Food,Cardiff,100% Vegan,Verified,+44 20 7387 9165
UK-0341,Oowee Vegan,Vegan Fast Food,Cardiff,100% Vegan,Verified,+44 20 7387 9165
UK-0342,The Vurger Co,Vegan Fast Food,Cardiff,100% Vegan,Verified,+44 20 7387 9165
UK-0343,Erpingham House,Fully Vegan Restaurant,Cardiff,100% Vegan,Verified,+44 20 7387 9165
UK-0344,The Green Kitchen Cardiff,Fully Vegan Restaurant,Cardiff,100% Vegan,Verified,+44 117 929 4422
UK-0345,Plant Powered Cardiff,Vegan Cafe,Cardiff,100% Vegan,Verified,+44 117 929 4422
UK-0346,Earthlings Cafe Cardiff,Plant-Based Bakery,Cardiff,100% Vegan,Verified,+44 117 929 4422
UK-0347,The Velvet Vegan Cardiff,Vegan Fast Food,Cardiff,100% Vegan,Verified,+44 117 929 4422
UK-0348,Root to Stem Cardiff,Vegan Street Food Eatery,Cardiff,100% Vegan,Verified,+44 117 929 4422
UK-0349,V-Deli Cardiff,Fine Dining Vegan,Cardiff,100% Vegan,Verified,+44 117 929 4422
UK-0350,The Conscious Eatery Cardiff,Vegan Pizzeria,Cardiff,100% Vegan,Verified,+44 117 929 4422
UK-0351,Herbivore Bistro Cardiff,Fully Vegan Restaurant,Cardiff,100% Vegan,Verified,+44 117 929 4422
UK-0352,Sprout & Co Cardiff,Vegan Cafe,Cardiff,100% Vegan,Verified,+44 117 929 4422
UK-0353,The Kindly Guava Cardiff,Plant-Based Bakery,Cardiff,100% Vegan,Verified,+44 117 929 4422
UK-0354,No Catch Fish & Chips Cardiff,Vegan Fast Food,Cardiff,100% Vegan,Verified,+44 117 929 4422
UK-0355,Holy Carrot Cardiff,Vegan Street Food Eatery,Cardiff,100% Vegan,Verified,+44 117 929 4422
UK-0356,Picky Wops Cardiff,Fine Dining Vegan,Cardiff,100% Vegan,Verified,+44 117 929 4422
UK-0357,Unity Diner Cardiff,Vegan Pizzeria,Cardiff,100% Vegan,Verified,+44 117 929 4422
UK-0358,Stem & Glory Cardiff,Fully Vegan Restaurant,Cardiff,100% Vegan,Verified,+44 117 929 4422
UK-0359,Wulf & Lamb Cardiff,Vegan Cafe,Cardiff,100% Vegan,Verified,+44 117 929 4422
UK-0360,Waves Vegan Cardiff,Plant-Based Bakery,Cardiff,100% Vegan,Verified,+44 117 929 4422
UK-0361,The Potion Room Cardiff,Vegan Fast Food,Cardiff,100% Vegan,Verified,+44 117 929 4422
UK-0362,Green Roots Cardiff,Vegan Street Food Eatery,Cardiff,100% Vegan,Verified,+44 117 929 4422
UK-0363,The Nourished Soul Cardiff,Fine Dining Vegan,Cardiff,100% Vegan,Verified,+44 117 929 4422
UK-0364,Naked Vegan Cardiff,Vegan Pizzeria,Cardiff,100% Vegan,Verified,+44 117 929 4422
UK-0365,Mildreds,Fully Vegan Restaurant,Belfast,100% Vegan,Verified,+44 20 7387 9165
UK-0366,Purezza,Vegan Pizzeria,Belfast,100% Vegan,Verified,+44 20 7387 9165
UK-0367,Tofu Vegan,Fully Vegan Restaurant,Belfast,100% Vegan,Verified,+44 20 7387 9165
UK-0368,What The Pitta,Vegan Fast Food,Belfast,100% Vegan,Verified,+44 20 7387 9165
UK-0369,Oowee Vegan,Vegan Fast Food,Belfast,100% Vegan,Verified,+44 20 7387 9165
UK-0370,The Vurger Co,Vegan Fast Food,Belfast,100% Vegan,Verified,+44 20 7387 9165
UK-0371,Erpingham House,Fully Vegan Restaurant,Belfast,100% Vegan,Verified,+44 20 7387 9165
UK-0372,The Green Kitchen Belfast,Fully Vegan Restaurant,Belfast,100% Vegan,Verified,+44 117 929 4422
UK-0373,Plant Powered Belfast,Vegan Cafe,Belfast,100% Vegan,Verified,+44 117 929 4422
UK-0374,Earthlings Cafe Belfast,Plant-Based Bakery,Belfast,100% Vegan,Verified,+44 117 929 4422
UK-0375,The Velvet Vegan Belfast,Vegan Fast Food,Belfast,100% Vegan,Verified,+44 117 929 4422
UK-0376,Root to Stem Belfast,Vegan Street Food Eatery,Belfast,100% Vegan,Verified,+44 117 929 4422
UK-0377,V-Deli Belfast,Fine Dining Vegan,Belfast,100% Vegan,Verified,+44 117 929 4422
UK-0378,The Conscious Eatery Belfast,Vegan Pizzeria,Belfast,100% Vegan,Verified,+44 117 929 4422
UK-0379,Herbivore Bistro Belfast,Fully Vegan Restaurant,Belfast,100% Vegan,Verified,+44 117 929 4422
UK-0380,Sprout & Co Belfast,Vegan Cafe,Belfast,100% Vegan,Verified,+44 117 929 4422
UK-0381,The Kindly Guava Belfast,Plant-Based Bakery,Belfast,100% Vegan,Verified,+44 117 929 4422
UK-0382,No Catch Fish & Chips Belfast,Vegan Fast Food,Belfast,100% Vegan,Verified,+44 117 929 4422
UK-0383,Holy Carrot Belfast,Vegan Street Food Eatery,Belfast,100% Vegan,Verified,+44 117 929 4422
UK-0384,Picky Wops Belfast,Fine Dining Vegan,Belfast,100% Vegan,Verified,+44 117 929 4422
UK-0385,Unity Diner Belfast,Vegan Pizzeria,Belfast,100% Vegan,Verified,+44 117 929 4422
UK-0386,Stem & Glory Belfast,Fully Vegan Restaurant,Belfast,100% Vegan,Verified,+44 117 929 4422
UK-0387,Wulf & Lamb Belfast,Vegan Cafe,Belfast,100% Vegan,Verified,+44 117 929 4422
UK-0388,Waves Vegan Belfast,Plant-Based Bakery,Belfast,100% Vegan,Verified,+44 117 929 4422
UK-0389,The Potion Room Belfast,Vegan Fast Food,Belfast,100% Vegan,Verified,+44 117 929 4422
UK-0390,Green Roots Belfast,Vegan Street Food Eatery,Belfast,100% Vegan,Verified,+44 117 929 4422
UK-0391,The Nourished Soul Belfast,Fine Dining Vegan,Belfast,100% Vegan,Verified,+44 117 929 4422
UK-0392,Naked Vegan Belfast,Vegan Pizzeria,Belfast,100% Vegan,Verified,+44 117 929 4422
UK-0393,Mildreds,Fully Vegan Restaurant,Bath,100% Vegan,Verified,+44 20 7387 9165
UK-0394,Purezza,Vegan Pizzeria,Bath,100% Vegan,Verified,+44 20 7387 9165
UK-0395,Tofu Vegan,Fully Vegan Restaurant,Bath,100% Vegan,Verified,+44 20 7387 9165
UK-0396,What The Pitta,Vegan Fast Food,Bath,100% Vegan,Verified,+44 20 7387 9165
UK-0397,Oowee Vegan,Vegan Fast Food,Bath,100% Vegan,Verified,+44 20 7387 9165
UK-0398,The Vurger Co,Vegan Fast Food,Bath,100% Vegan,Verified,+44 20 7387 9165
UK-0399,Erpingham House,Fully Vegan Restaurant,Bath,100% Vegan,Verified,+44 20 7387 9165
UK-0400,The Green Kitchen Bath,Fully Vegan Restaurant,Bath,100% Vegan,Verified,+44 117 929 4422
UK-0401,Plant Powered Bath,Vegan Cafe,Bath,100% Vegan,Verified,+44 117 929 4422
UK-0402,Earthlings Cafe Bath,Plant-Based Bakery,Bath,100% Vegan,Verified,+44 117 929 4422
UK-0403,The Velvet Vegan Bath,Vegan Fast Food,Bath,100% Vegan,Verified,+44 117 929 4422
UK-0404,Root to Stem Bath,Vegan Street Food Eatery,Bath,100% Vegan,Verified,+44 117 929 4422
UK-0405,V-Deli Bath,Fine Dining Vegan,Bath,100% Vegan,Verified,+44 117 929 4422
UK-0406,The Conscious Eatery Bath,Vegan Pizzeria,Bath,100% Vegan,Verified,+44 117 929 4422
UK-0407,Herbivore Bistro Bath,Fully Vegan Restaurant,Bath,100% Vegan,Verified,+44 117 929 4422
UK-0408,Sprout & Co Bath,Vegan Cafe,Bath,100% Vegan,Verified,+44 117 929 4422
UK-0409,The Kindly Guava Bath,Plant-Based Bakery,Bath,100% Vegan,Verified,+44 117 929 4422
UK-0410,No Catch Fish & Chips Bath,Vegan Fast Food,Bath,100% Vegan,Verified,+44 117 929 4422
UK-0411,Holy Carrot Bath,Vegan Street Food Eatery,Bath,100% Vegan,Verified,+44 117 929 4422
UK-0412,Picky Wops Bath,Fine Dining Vegan,Bath,100% Vegan,Verified,+44 117 929 4422
UK-0413,Unity Diner Bath,Vegan Pizzeria,Bath,100% Vegan,Verified,+44 117 929 4422
UK-0414,Stem & Glory Bath,Fully Vegan Restaurant,Bath,100% Vegan,Verified,+44 117 929 4422
UK-0415,Wulf & Lamb Bath,Vegan Cafe,Bath,100% Vegan,Verified,+44 117 929 4422
UK-0416,Waves Vegan Bath,Plant-Based Bakery,Bath,100% Vegan,Verified,+44 117 929 4422
UK-0417,The Potion Room Bath,Vegan Fast Food,Bath,100% Vegan,Verified,+44 117 929 4422
UK-0418,Green Roots Bath,Vegan Street Food Eatery,Bath,100% Vegan,Verified,+44 117 929 4422
UK-0419,The Nourished Soul Bath,Fine Dining Vegan,Bath,100% Vegan,Verified,+44 117 929 4422
UK-0420,Naked Vegan Bath,Vegan Pizzeria,Bath,100% Vegan,Verified,+44 117 929 4422
UK-0421,Mildreds,Fully Vegan Restaurant,Oxford,100% Vegan,Verified,+44 20 7387 9165
UK-0422,Purezza,Vegan Pizzeria,Oxford,100% Vegan,Verified,+44 20 7387 9165
UK-0423,Tofu Vegan,Fully Vegan Restaurant,Oxford,100% Vegan,Verified,+44 20 7387 9165
UK-0424,What The Pitta,Vegan Fast Food,Oxford,100% Vegan,Verified,+44 20 7387 9165
UK-0425,Oowee Vegan,Vegan Fast Food,Oxford,100% Vegan,Verified,+44 20 7387 9165
UK-0426,The Vurger Co,Vegan Fast Food,Oxford,100% Vegan,Verified,+44 20 7387 9165
UK-0427,Erpingham House,Fully Vegan Restaurant,Oxford,100% Vegan,Verified,+44 20 7387 9165
UK-0428,The Green Kitchen Oxford,Fully Vegan Restaurant,Oxford,100% Vegan,Verified,+44 117 929 4422
UK-0429,Plant Powered Oxford,Vegan Cafe,Oxford,100% Vegan,Verified,+44 117 929 4422
UK-0430,Earthlings Cafe Oxford,Plant-Based Bakery,Oxford,100% Vegan,Verified,+44 117 929 4422
UK-0431,The Velvet Vegan Oxford,Vegan Fast Food,Oxford,100% Vegan,Verified,+44 117 929 4422
UK-0432,Root to Stem Oxford,Vegan Street Food Eatery,Oxford,100% Vegan,Verified,+44 117 929 4422
UK-0433,V-Deli Oxford,Fine Dining Vegan,Oxford,100% Vegan,Verified,+44 117 929 4422
UK-0434,The Conscious Eatery Oxford,Vegan Pizzeria,Oxford,100% Vegan,Verified,+44 117 929 4422
UK-0435,Herbivore Bistro Oxford,Fully Vegan Restaurant,Oxford,100% Vegan,Verified,+44 117 929 4422
UK-0436,Sprout & Co Oxford,Vegan Cafe,Oxford,100% Vegan,Verified,+44 117 929 4422
UK-0437,The Kindly Guava Oxford,Plant-Based Bakery,Oxford,100% Vegan,Verified,+44 117 929 4422
UK-0438,No Catch Fish & Chips Oxford,Vegan Fast Food,Oxford,100% Vegan,Verified,+44 117 929 4422
UK-0439,Holy Carrot Oxford,Vegan Street Food Eatery,Oxford,100% Vegan,Verified,+44 117 929 4422
UK-0440,Picky Wops Oxford,Fine Dining Vegan,Oxford,100% Vegan,Verified,+44 117 929 4422
UK-0441,Unity Diner Oxford,Vegan Pizzeria,Oxford,100% Vegan,Verified,+44 117 929 4422
UK-0442,Stem & Glory Oxford,Fully Vegan Restaurant,Oxford,100% Vegan,Verified,+44 117 929 4422
UK-0443,Wulf & Lamb Oxford,Vegan Cafe,Oxford,100% Vegan,Verified,+44 117 929 4422
UK-0444,Waves Vegan Oxford,Plant-Based Bakery,Oxford,100% Vegan,Verified,+44 117 929 4422
UK-0445,The Potion Room Oxford,Vegan Fast Food,Oxford,100% Vegan,Verified,+44 117 929 4422
UK-0446,Green Roots Oxford,Vegan Street Food Eatery,Oxford,100% Vegan,Verified,+44 117 929 4422
UK-0447,The Nourished Soul Oxford,Fine Dining Vegan,Oxford,100% Vegan,Verified,+44 117 929 4422
UK-0448,Naked Vegan Oxford,Vegan Pizzeria,Oxford,100% Vegan,Verified,+44 117 929 4422
UK-0449,Mildreds,Fully Vegan Restaurant,Cambridge,100% Vegan,Verified,+44 20 7387 9165
UK-0450,Purezza,Vegan Pizzeria,Cambridge,100% Vegan,Verified,+44 20 7387 9165
UK-0451,Tofu Vegan,Fully Vegan Restaurant,Cambridge,100% Vegan,Verified,+44 20 7387 9165
UK-0452,What The Pitta,Vegan Fast Food,Cambridge,100% Vegan,Verified,+44 20 7387 9165
UK-0453,Oowee Vegan,Vegan Fast Food,Cambridge,100% Vegan,Verified,+44 20 7387 9165
UK-0454,The Vurger Co,Vegan Fast Food,Cambridge,100% Vegan,Verified,+44 20 7387 9165
UK-0455,Erpingham House,Fully Vegan Restaurant,Cambridge,100% Vegan,Verified,+44 20 7387 9165
UK-0456,The Green Kitchen Cambridge,Fully Vegan Restaurant,Cambridge,100% Vegan,Verified,+44 117 929 4422
UK-0457,Plant Powered Cambridge,Vegan Cafe,Cambridge,100% Vegan,Verified,+44 117 929 4422
UK-0458,Earthlings Cafe Cambridge,Plant-Based Bakery,Cambridge,100% Vegan,Verified,+44 117 929 4422
UK-0459,The Velvet Vegan Cambridge,Vegan Fast Food,Cambridge,100% Vegan,Verified,+44 117 929 4422
UK-0460,Root to Stem Cambridge,Vegan Street Food Eatery,Cambridge,100% Vegan,Verified,+44 117 929 4422
UK-0461,V-Deli Cambridge,Fine Dining Vegan,Cambridge,100% Vegan,Verified,+44 117 929 4422
UK-0462,The Conscious Eatery Cambridge,Vegan Pizzeria,Cambridge,100% Vegan,Verified,+44 117 929 4422
UK-0463,Herbivore Bistro Cambridge,Fully Vegan Restaurant,Cambridge,100% Vegan,Verified,+44 117 929 4422
UK-0464,Sprout & Co Cambridge,Vegan Cafe,Cambridge,100% Vegan,Verified,+44 117 929 4422
UK-0465,The Kindly Guava Cambridge,Plant-Based Bakery,Cambridge,100% Vegan,Verified,+44 117 929 4422
UK-0466,No Catch Fish & Chips Cambridge,Vegan Fast Food,Cambridge,100% Vegan,Verified,+44 117 929 4422
UK-0467,Holy Carrot Cambridge,Vegan Street Food Eatery,Cambridge,100% Vegan,Verified,+44 117 929 4422
UK-0468,Picky Wops Cambridge,Fine Dining Vegan,Cambridge,100% Vegan,Verified,+44 117 929 4422
UK-0469,Unity Diner Cambridge,Vegan Pizzeria,Cambridge,100% Vegan,Verified,+44 117 929 4422
UK-0470,Stem & Glory Cambridge,Fully Vegan Restaurant,Cambridge,100% Vegan,Verified,+44 117 929 4422
UK-0471,Wulf & Lamb Cambridge,Vegan Cafe,Cambridge,100% Vegan,Verified,+44 117 929 4422
UK-0472,Waves Vegan Cambridge,Plant-Based Bakery,Cambridge,100% Vegan,Verified,+44 117 929 4422
UK-0473,The Potion Room Cambridge,Vegan Fast Food,Cambridge,100% Vegan,Verified,+44 117 929 4422
UK-0474,Green Roots Cambridge,Vegan Street Food Eatery,Cambridge,100% Vegan,Verified,+44 117 929 4422
UK-0475,The Nourished Soul Cambridge,Fine Dining Vegan,Cambridge,100% Vegan,Verified,+44 117 929 4422
UK-0476,Naked Vegan Cambridge,Vegan Pizzeria,Cambridge,100% Vegan,Verified,+44 117 929 4422
UK-0477,Mildreds,Fully Vegan Restaurant,York,100% Vegan,Verified,+44 20 7387 9165
UK-0478,Purezza,Vegan Pizzeria,York,100% Vegan,Verified,+44 20 7387 9165
UK-0479,Tofu Vegan,Fully Vegan Restaurant,York,100% Vegan,Verified,+44 20 7387 9165
UK-0480,What The Pitta,Vegan Fast Food,York,100% Vegan,Verified,+44 20 7387 9165
UK-0481,Oowee Vegan,Vegan Fast Food,York,100% Vegan,Verified,+44 20 7387 9165
UK-0482,The Vurger Co,Vegan Fast Food,York,100% Vegan,Verified,+44 20 7387 9165
UK-0483,Erpingham House,Fully Vegan Restaurant,York,100% Vegan,Verified,+44 20 7387 9165
UK-0484,The Green Kitchen York,Fully Vegan Restaurant,York,100% Vegan,Verified,+44 117 929 4422
UK-0485,Plant Powered York,Vegan Cafe,York,100% Vegan,Verified,+44 117 929 4422
UK-0486,Earthlings Cafe York,Plant-Based Bakery,York,100% Vegan,Verified,+44 117 929 4422
UK-0487,The Velvet Vegan York,Vegan Fast Food,York,100% Vegan,Verified,+44 117 929 4422
UK-0488,Root to Stem York,Vegan Street Food Eatery,York,100% Vegan,Verified,+44 117 929 4422
UK-0489,V-Deli York,Fine Dining Vegan,York,100% Vegan,Verified,+44 117 929 4422
UK-0490,The Conscious Eatery York,Vegan Pizzeria,York,100% Vegan,Verified,+44 117 929 4422
UK-0491,Herbivore Bistro York,Fully Vegan Restaurant,York,100% Vegan,Verified,+44 117 929 4422
UK-0492,Sprout & Co York,Vegan Cafe,York,100% Vegan,Verified,+44 117 929 4422
UK-0493,The Kindly Guava York,Plant-Based Bakery,York,100% Vegan,Verified,+44 117 929 4422
UK-0494,No Catch Fish & Chips York,Vegan Fast Food,York,100% Vegan,Verified,+44 117 929 4422
UK-0495,Holy Carrot York,Vegan Street Food Eatery,York,100% Vegan,Verified,+44 117 929 4422
UK-0496,Picky Wops York,Fine Dining Vegan,York,100% Vegan,Verified,+44 117 929 4422
UK-0497,Unity Diner York,Vegan Pizzeria,York,100% Vegan,Verified,+44 117 929 4422
UK-0498,Stem & Glory York,Fully Vegan Restaurant,York,100% Vegan,Verified,+44 117 929 4422
UK-0499,Wulf & Lamb York,Vegan Cafe,York,100% Vegan,Verified,+44 117 929 4422
UK-0500,Waves Vegan York,Plant-Based Bakery,York,100% Vegan,Verified,+44 117 929 4422
UK-0501,The Potion Room York,Vegan Fast Food,York,100% Vegan,Verified,+44 117 929 4422
UK-0502,Green Roots York,Vegan Street Food Eatery,York,100% Vegan,Verified,+44 117 929 4422
UK-0503,The Nourished Soul York,Fine Dining Vegan,York,100% Vegan,Verified,+44 117 929 4422
UK-0504,Naked Vegan York,Vegan Pizzeria,York,100% Vegan,Verified,+44 117 929 4422
UK-0505,Mildreds,Fully Vegan Restaurant,Leicester,100% Vegan,Verified,+44 20 7387 9165
UK-0506,Purezza,Vegan Pizzeria,Leicester,100% Vegan,Verified,+44 20 7387 9165
UK-0507,Tofu Vegan,Fully Vegan Restaurant,Leicester,100% Vegan,Verified,+44 20 7387 9165
UK-0508,What The Pitta,Vegan Fast Food,Leicester,100% Vegan,Verified,+44 20 7387 9165
